director,genres,histogram,imdb_id,length,name,poster_url,themes,tmdb_id,url_name,year
David Lynch,"Thriller,Mystery,Drama","[1918, 3936, 2324, 10166, 8785, 33974, 39765, 111876, 80190, 156514]",tt0166924,147,Mulholland Drive,https://a.ltrbxd.com/resized/sm/upload/kv/7n/p8/tv/fMC8JBWx2VjsJ53JopAcFjqmlYv-0-230-0-345-crop.jpg?v=3d69c00608,"Humanity and the world around us,Thrillers and murder mysteries,Intense violence and sexual transgression,Gothic and eerie haunting horror,Dreamlike,  quirky,  and surreal storytelling,Surreal and thought-provoking visions of life and death,Erotic relationships and desire,Film-noir and dark crime dramas",1018,mulholland-drive,2001
M. Night Shyamalan,"Horror,Thriller","[4614, 10578, 8143, 39338, 45157, 165982, 162664, 209353, 46152, 75772]",tt4972582,117,Split,https://a.ltrbxd.com/resized/sm/upload/5e/pw/vs/km/8CHJcVc5IGXS1sC5DyjeMwTDEQH-0-230-0-345-crop.jpg?v=ab64d75800,"Horror, the undead and monster classics,Intense violence and sexual transgression,Monsters, aliens, sci-fi and the apocalypse,Terrifying,  haunted,  and supernatural horror,Twisted dark psychological thriller,Gothic and eerie haunting horror,Gory,  gruesome,  and slasher horror,Brutal revenge and graphic violence",381288,split-2016,2016
Joe Wright,"Drama,Romance","[1441, 3367, 2199, 11756, 12128, 54443, 59111, 139042, 63077, 212520]",tt0414387,127,Pride & Prejudice,https://a.ltrbxd.com/resized/sm/upload/nq/jo/26/tn/dAC0hkYmz5ZOCHURZCyj9isPMPd-0-230-0-345-crop.jpg?v=b3dac3ffd7,"Relationship comedy,Moving relationship stories,Song and dance,Epic history and literature,Passion and romance,Charming romances and delightful chemistry,Sumptuous royalty and lavish dramas,Touching and sad family stories,Musicals with dazzling vocal performances",4348,pride-prejudice,2005
David Frankel,"Comedy,Romance,Drama","[1169, 3647, 3445, 18174, 23924, 110528, 117252, 202915, 52738, 137175]",tt0458352,109,The Devil Wears Prada,https://a.ltrbxd.com/resized/film-poster/5/1/7/1/2/51712-the-devil-wears-prada-0-230-0-345-crop.jpg?v=4a10e2c93f,"Relationship comedy,Song and dance,Charming romances and delightful chemistry,Laugh-out-loud relationship entanglements,Hilarious comedy with catchy tunes,Emotional LGBTQ relationships,Teen school antics and laughter",350,the-devil-wears-prada,2006
Guillermo del Toro,"Drama,Romance,Fantasy","[5269, 12608, 6367, 32984, 27116, 104163, 100305, 184825, 66410, 90085]",tt5580390,123,The Shape of Water,https://a.ltrbxd.com/resized/sm/upload/f0/2f/4e/am/bxVvUHI1A9PWoVfEBZko6FZPv5A-0-230-0-345-crop.jpg?v=b150ad168f,"Monsters, aliens, sci-fi and the apocalypse,Humanity and the world around us,Imaginative space odysseys and alien encounters,Dinosaurs and sci-fi monster adventures,Surreal and thought-provoking visions of life and death,Fairy-tale fantasy and enchanted magic,Erotic relationships and desire",399055,the-shape-of-water,2017
James Mangold,"Action,Science Fiction,Drama","[985, 3164, 2266, 13620, 13306, 71317, 89997, 241309, 132378, 172599]",tt3315342,137,Logan,https://a.ltrbxd.com/resized/sm/upload/f3/ub/fq/f5/gGBu0hKw9BGddG8RkRAMX7B6NDB-0-230-0-345-crop.jpg?v=523ca1f161,"Epic heroes,Westerns,Monsters, aliens, sci-fi and the apocalypse,Thought-provoking sci-fi action and future technology,Superheroes in action-packed battles with villains,Martial arts and intense combat,Wild west outlaws and gunfights,Explosive and action-packed heroes vs. villains",263115,logan-2017,2017
Chris Columbus,"Comedy,Family","[2040, 6060, 4035, 24942, 26794, 141113, 132431, 242180, 60601, 139770]",tt0099785,103,Home Alone,https://a.ltrbxd.com/resized/sm/upload/e6/mn/oi/ky/8IWPBT1rkAaI8Kpk5V3WfQRklJ7-0-230-0-345-crop.jpg?v=cb22d36a0e,"Crude humor and satire,Relationship comedy,Heartwarming Christmas and holiday joy,Kids' animated fun and adventure,Gags,  jokes,  and slapstick humor,Spooky,  scary comedy,Adorable animals and heartwarming families",771,home-alone,1990
Steven Spielberg,"War,Drama,History","[754, 1262, 772, 3983, 3906, 23748, 30303, 129258, 105274, 250509]",tt0108052,195,Schindler's List,https://a.ltrbxd.com/resized/sm/upload/bz/1x/em/jr/yPisjyLweCl1tbgwgtzBCNCBle-0-230-0-345-crop.jpg?v=ca5215c5a9,"War and historical adventure,Politics and human rights,The Nazis and World War II,Military combat and heroic soldiers,Politics,  propaganda,  and political documentaries,Racism and the powerful fight for justice,Historical battles and epic heroism",424,schindlers-list,1993
Ryan Coogler,"Adventure,Action,Science Fiction","[3451, 7788, 8948, 34112, 48724, 126296, 132244, 158432, 49893, 66165]",tt9114286,162,Black Panther: Wakanda Forever,https://a.ltrbxd.com/resized/film-poster/4/3/5/4/6/0/435460-black-panther-wakanda-forever-0-230-0-345-crop.jpg?v=27db1e3d45,"Epic heroes,Epic history and literature,Superheroes in action-packed battles with villains,Historical battles and epic heroism,Fantasy adventure,  heroism,  and swordplay,Martial arts and intense combat,Epic adventure and breathtaking battles",505642,black-panther-wakanda-forever,2022
Gareth Edwards,"Action,Adventure,Science Fiction","[3732, 10592, 7788, 35736, 37291, 128876, 135800, 240668, 85789, 104960]",tt3748528,133,Rogue One: A Star Wars Story,https://a.ltrbxd.com/resized/film-poster/2/5/8/1/2/8/258128-rogue-one-a-star-wars-story-0-230-0-345-crop.jpg?v=eff30d0282,"Epic heroes,Monsters, aliens, sci-fi and the apocalypse,War and historical adventure,Imaginative space odysseys and alien encounters,Action-packed space and alien sagas,Bravery in World War II,Thought-provoking sci-fi action and future technology,Fantasy adventure,  heroism,  and swordplay",330459,rogue-one-a-star-wars-story,2016
